id   Names        X       Y       RA      DEC         V    BV  Prob 
  312  KC-312      -84.44 -120.10  19:53:40.15  18:44:41.9   16.09  0.97   0
  313  KC-313      -48.31 -118.36  19:53:42.69  18:44:43.6   16.71  0.78   0
  314  KC-314      -20.47 -116.71  19:53:44.65  18:44:45.3   16.68  0.98   0
  315  KC-315       -3.64 -162.41  19:53:45.84  18:43:59.6   16.22  0.73  79
  316  KC-316       -3.06 -157.84  19:53:45.88  18:44:04.1   15.75  1.52   0
  317  J            -1.58 -148.86  19:53:45.99  18:44:13.1   16.76  0.52   0
  318  KC-318       23.72 -134.09  19:53:47.77  18:44:27.9   16.84  0.83   2
  319  KC-319       40.96 -135.71  19:53:48.98  18:44:26.3   16.01  1.35   0
  320  KC-320       53.18 -165.31  19:53:49.84  18:43:56.6   16.55  0.73   0
  321  D            52.64 -102.70  19:53:49.80  18:44:59.3   15.94  1.01  91
  322  E            64.24 -108.16  19:53:50.62  18:44:53.8   16.46  0.64   0
  323  KC-323       77.23 -133.16  19:53:51.54  18:44:28.8   16.36  0.87   0
  324  KC-324       83.75 -116.08  19:53:51.99  18:44:45.9   15.99  0.99   1
  325  G           112.24 -128.84  19:53:53.99  18:44:33.1   16.77  1.06   0
  326  KC-326      113.16 -113.56  19:53:54.07  18:44:48.4   16.37  0.97   0
  327  KC-327      104.65  -82.44  19:53:53.46  18:45:19.5   16.54  0.95  16
  328  KC-328       77.53  -86.00  19:53:51.55  18:45:16.0   15.71  0.88  10
  329  KC-329       68.92  -80.82  19:53:50.95  18:45:21.1   15.83  1.35   0
  330  KC-330       88.06  -59.97  19:53:52.30  18:45:42.0   15.79  1.17   0
  331  KC-331      134.92  -62.95  19:53:55.60  18:45:39.0   16.18  1.11   0
  332  KC-332      156.01  -59.52  19:53:57.08  18:45:42.4   16.22  0.77   0
  333  KC-333      109.65  -27.58  19:53:53.81  18:46:14.4   16.17  1.08   0
  334  KC-334      125.76   34.29  19:53:54.95  18:47:16.2   16.69  1.26  89
  335  KC-335      153.60   50.75  19:53:56.92  18:47:32.7   16.14  0.95  95
  336  KC-336       82.25   66.24  19:53:51.89  18:47:48.2   15.97  1.17  19
  338  KC-338      102.06  106.74  19:53:53.29  18:48:28.7   16.16  1.03   0
  339  KC-339       73.21   95.48  19:53:51.25  18:48:17.4   16.01  1.24  45
  340  KC-340       56.54   84.41  19:53:50.07  18:48:06.4   16.37  1.06   3
  341  KC-341       13.12  128.11  19:53:47.02  18:48:50.1   16.32  1.07  95
  342  KC-342        0.96  126.39  19:53:46.16  18:48:48.4   16.42  0.91  90
  343  KC-343      -27.87   71.08  19:53:44.14  18:47:53.0   16.33  0.63   8
  346  KC-346      -44.89   43.83  19:53:42.93  18:47:25.8   16.07  0.69  20
  347  KC-347      -81.87   16.48  19:53:40.33  18:46:58.4   15.95  1.16   0
  348  KC-348      -64.32    7.66  19:53:41.57  18:46:49.6   16.35  0.53   0
  350  KC-350      -49.93  -52.07  19:53:42.58  18:45:49.9   16.42  1.01  21
  351  KC-351      -48.31  -83.30  19:53:42.69  18:45:18.7   16.48  0.87   0
  352  KC-352      -44.90  -75.88  19:53:42.93  18:45:26.1   16.47  1.26   0
  353  KC-353      -36.71  -79.85  19:53:43.51  18:45:22.1   16.61  1.18   2
  354  KC-354      -27.94  -91.27  19:53:44.13  18:45:10.7   16.44  1.10   5
  355  KC-355       22.99  -94.85  19:53:47.72  18:45:07.1   16.54  0.68   0
